Code CAIRN,Titre,Sous-titre,Editeur,Disciplines,URL
GMCC,Guerres mondiales et conflits contemporains,,Presses Universitaires de France,Histoire,https://shs.cairn.info/revue-guerres-mondiales-et-conflits-contemporains?lang=fr
GES,"Géographie, économie, société",,JLE,Économie; Géographie,https://shs.cairn.info/revue-geographie-economie-societe?lang=fr
GEOEC,Géoéconomie,,Éditions Choiseul,Économie; Géographie; Science politique,https://shs.cairn.info/revue-geoeconomie?lang=fr
GPNV,Gériatrie et Psychologie Neuropsychiatrie du Vieillissement,,JLE,Psychologie; Santé publique,https://stm.cairn.info/revue-geriatrie-et-psychologie-neuropsychiatrie-du-vieillissement?lang=fr
GS1,Gérontologie et société,,Caisse nationale d'assurance vieillesse,Santé publique; Sociologie,https://shs.cairn.info/revue-gerontologie-et-societe?lang=fr
HABI,Habitante,,Audimat Éditions,Anthropologie; Arts; Géographie; Sociologie,https://shs.cairn.info/revue-habitante?lang=fr
HEG,Hegel,La revue de santé intégrative,Association pour la revue HEGEL,Santé publique,https://stm.cairn.info/revue-hegel?lang=fr
HERM,"Hermès, La Revue","Cognition, communication, politique",CNRS Éditions,"Info, Communication; Science politique",https://shs.cairn.info/revue-hermes-la-revue?lang=fr
HETM,Histoire & mesure,,Éditions de l'EHESS,Histoire,https://shs.cairn.info/revue-histoire-et-mesure?lang=fr
HSR,Histoire & Sociétés Rurales,,Association d'histoire des sociétés rurales,Histoire,https://shs.cairn.info/revue-histoire-et-societes-rurales?lang=fr
HDLE,Histoire de l'éducation,,ENS Éditions,Histoire; Sciences de l'éducation,https://shs.cairn.info/revue-histoire-de-l-education?lang=fr
RHJ,Histoire de la justice,,Association Française pour l'Histoire de la Justice,Histoire,https://droit.cairn.info/revue-histoire-de-la-justice?lang=fr
RHU,Histoire urbaine,,Société française d'histoire urbaine,Histoire,https://shs.cairn.info/revue-histoire-urbaine?lang=fr
HERI,"Histoire, Europe et relations internationales",,UMR Sirice,Histoire; Science politique,https://shs.cairn.info/revue-histoire-europe-et-relations-internationales?lang=fr
HMC,"Histoire, monde et cultures religieuses",,Karthala,Histoire; Religions et spiritualité,https://shs.cairn.info/revue-histoire-monde-et-cultures-religieuses?lang=fr
HES,"Histoire, économie & société",Époques moderne et contemporaine,Armand Colin,Économie; Histoire,https://shs.cairn.info/revue-histoire-economie-et-societe?lang=fr
HP,Histoire@Politique,"Politique, culture, société",Centre d'histoire de Sciences Po,Histoire; Science politique,https://shs.cairn.info/revue-histoire-politique?lang=fr
HORI,Horizons stratégiques,,La Documentation française,Science politique,https://shs.cairn.info/revue-horizons-strategiques?lang=fr
HUMA,Humanisme,,Grand Orient de France,Intérêt général,https://shs.cairn.info/revue-humanisme?lang=fr
HUME,Humanisme et Entreprise,,A.A.E.L.S.H.U.P,Gestion,https://shs.cairn.info/revue-humanisme-et-entreprise?lang=fr
HYP,Hypothèses,,Éditions de la Sorbonne,Histoire,https://shs.cairn.info/revue-hypotheses?lang=fr
HER,Hérodote,Revue de géographie et de géopolitique,La Découverte,Géographie; Science politique,https://shs.cairn.info/revue-herodote?lang=fr
I2D,I2D,"Information, données & documents - Pratiques & recherches",A.D.B.S.,"Info, Communication",https://shs.cairn.info/revue-i2d-information-donnees-et-documents?lang=fr
IDEE,Idées économiques et sociales,,Réseau Canopé,Économie; Sociologie,https://shs.cairn.info/revue-idees-economiques-et-sociales?lang=fr
IKOS,Ikosim,,Association Algérienne pour la Sauvegarde et la Promotion du Patrimoine,Histoire,https://shs.cairn.info/revue-ikosim?lang=fr
IMIN,Imaginaire & Inconscient,Études psychothérapiques,L'Esprit du temps,Psychologie,https://shs.cairn.info/revue-imaginaire-et-inconscient?lang=fr
INFLE,Inflexions,Civils et militaires : pouvoir dire,Armée de terre,Intérêt général; Science politique,https://shs.cairn.info/revue-inflexions?lang=fr
INSO,Informations sociales,,Caisse nationale d'allocations familiales,Science politique; Sociologie,https://shs.cairn.info/revue-informations-sociales?lang=fr
INNO,Innovations,Revue d'économie et de management de l'innovation,De Boeck Supérieur,Économie; Gestion,https://shs.cairn.info/revue-innovations?lang=fr
INSI,Insistance,"Art, Psychanalyse, Politique",érès,Psychologie,https://shs.cairn.info/revue-insistance?lang=fr
INST,Institutions,Revue de psychothérapie institutionnelle,Fédération inter-associative,Psychologie; Travail social,https://shs.cairn.info/revue-institutions?lang=fr
JGES,Journal de gestion et d'économie de la santé,,ESKA,Économie; Gestion; Santé publique,https://shs.cairn.info/revue-journal-de-gestion-et-d-economie-de-la-sante?lang=fr
JHSI,Journal de l'hypnose et de la santé intégrative,,Dunod,Psychologie; Santé publique,https://stm.cairn.info/revue-journal-de-l-hypnose-et-de-la-sante-integrative?lang=fr
JPE,Journal de la psychanalyse de l'enfant,,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-journal-de-la-psychanalyse-de-l-enfant?lang=fr
JSO,Journal de la Société des Océanistes,,Société des océanistes,Anthropologie; Géographie,https://shs.cairn.info/revue-journal-de-la-societe-des-oceanistes?lang=fr
A999_JDEP,Journal de Philosophie,,Institut de Recherches et d'Etudes philosophiques,Philosophie,https://shs.cairn.info/revue-journal-de-philosophie?lang=fr
JDA,Journal des anthropologues,,Association française des anthropologues,Anthropologie,https://shs.cairn.info/revue-journal-des-anthropologues?lang=fr
JDSAM,Journal du Droit de la Santé et de l'Assurance,Maladie (JDSAM),L'Institut Droit et Santé,Santé publique,https://droit.cairn.info/revue-journal-du-droit-de-la-sante-et-de-l-assurance-maladie?lang=fr
JDJ,Journal du droit des jeunes,,Association jeunesse et droit,Sciences de l'éducation; Travail social,https://droit.cairn.info/revue-journal-du-droit-des-jeunes?lang=fr
JFP,Journal français de psychiatrie,"Clinique, Scientifique & Psychanalytique",Champ social,Psychologie,https://shs.cairn.info/revue-journal-francais-de-psychiatrie?lang=fr
JIBES,Journal international de bioéthique et d'éthique des sciences,,ESKA,Philosophie; Santé publique,https://stm.cairn.info/revue-journal-international-de-bioethique-et-d-ethique-des-sciences?lang=fr
JIM,Journal of international Mobility,,Presses Universitaires de France,Sciences de l'éducation; Sociologie,https://shs.cairn.info/revue-journal-of-international-mobility?lang=fr
JALMALV,Jusqu'à la mort accompagner la vie,,Presses universitaires de Grenoble,Psychologie; Santé publique,https://shs.cairn.info/revue-jusqu-a-la-mort-accompagner-la-vie?lang=fr
BALZ,L'Année balzacienne,,Presses Universitaires de France,Littérature,https://shs.cairn.info/revue-l-annee-balzacienne?lang=fr
ARSE,L'Année de la recherche en sciences de l'éducation,,INSPÉ Paris,Sciences de l'éducation,https://shs.cairn.info/revue-l-annee-de-la-recherche-en-sciences-de-l-education?lang=fr
LAPSY,L'Année psychanalytique internationale,,In Press,Psychologie,https://shs.cairn.info/revue-l-annee-psychanalytique-internationale?lang=fr
ANPSY1,L'Année psychologique,Topics in Cognitive Psychology,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-l-annee-psychologique?lang=fr
ANSO,L'Année sociologique,,Presses Universitaires de France,Sociologie,https://shs.cairn.info/revue-l-annee-sociologique?lang=fr
AEP,L'Année épigraphique,,Presses Universitaires de France,Histoire,https://shs.cairn.info/revue-annee-epigraphique?lang=fr
LAUTR,L'autre,"Cliniques, cultures et sociétés",La Pensée sauvage,Psychologie,https://shs.cairn.info/revue-l-autre?lang=fr
ENJE,L'en-je lacanien,,érès,Psychologie,https://shs.cairn.info/revue-l-en-je-lacanien?lang=fr
EPH,L'Enseignement philosophique,,Association des professeurs de philosophie de l'enseignement public,Philosophie,https://shs.cairn.info/revue-l-enseignement-philosophique?lang=fr
EG,L'Espace géographique,,Belin,Géographie,https://shs.cairn.info/revue-espace-geographique?lang=fr
EUFOR,L'Europe en Formation,Revue d'études sur la construction européenne et le fédéralisme,Centre international de formation européenne,Science politique,https://shs.cairn.info/revue-l-europe-en-formation?lang=fr
EMR,L'Expansion Management Review,,L'Express - Roularta,Gestion,https://shs.cairn.info/revue-l-expansion-management-review?lang=fr
LHOM,L'Homme,Revue française d'anthropologie,Éditions de l'EHESS,Anthropologie,https://shs.cairn.info/revue-l-homme?lang=fr
LHS,L'Homme & la Société,,Association pour la Recherche de Synthèse en Sciences Humaines (ARSSH),Anthropologie; Sociologie,https://shs.cairn.info/revue-l-homme-et-la-societe?lang=fr
LIG,L'Information géographique,,Armand Colin,Géographie,https://shs.cairn.info/revue-l-information-geographique?lang=fr
INLI,L'information littéraire,,Les Belles lettres,Littérature,https://shs.cairn.info/revue-l-information-litteraire?lang=fr
INPSY,L'information psychiatrique,,JLE,Psychologie,https://stm.cairn.info/revue-l-information-psychiatrique?lang=fr
RHEI1,L'irrégulière,Revue d'histoire de l'enfance,Anamosa,Histoire; Travail social,https://shs.cairn.info/revue-l-irreguliere?lang=fr
LOBS,L'Observatoire,La revue des politiques culturelles,Observatoire des politiques culturelles,"Arts; Info, Communication; Science politique",https://shs.cairn.info/revue-l-observatoire?lang=fr
OUSA,L'Ouest Saharien,,Association des Cahiers L'Ouest saharien,Anthropologie; Géographie,https://shs.cairn.info/revue-l-ouest-saharien?lang=fr
EPAR,L'école des parents,,érès,Psychologie; Sciences de l'éducation,https://shs.cairn.info/revue-l-ecole-des-parents?lang=fr
LECO,L'Économie politique,,Alternatives économiques,Économie; Science politique,https://shs.cairn.info/revue-l-economie-politique?lang=fr
LCDD,La Cause du Désir,,L'École de la Cause freudienne,Psychologie,https://shs.cairn.info/revue-la-cause-du-desir?lang=fr
CDU,La chaîne d'union,,Grand Orient de France,Religions et spiritualité,https://shs.cairn.info/revue-la-chaine-d-union?lang=fr
CLA,La clinique lacanienne,,érès,Psychologie,https://shs.cairn.info/revue-la-clinique-lacanienne?lang=fr
GEO,La Géographie,Terre des Hommes,Société de Géographie,Géographie,https://shs.cairn.info/revue-la-geographie?lang=fr
LING,La linguistique,Revue de la Société Internationale de Linguistique Fonctionnelle,Presses Universitaires de France,Linguistique,https://shs.cairn.info/revue-la-linguistique?lang=fr
LNA,La note d'analyse de France Stratégie,,France Stratégie,Économie; Science politique,https://shs.cairn.info/revue-la-note-d-analyse?lang=fr
NRESI,La nouvelle revue,Éducation et société inclusives,INSEI,Sciences de l'éducation,https://shs.cairn.info/revue-la-nouvelle-revue-education-et-societe-inclusives?lang=fr
NRF,La Nouvelle Revue française,,Gallimard,Intérêt général; Littérature,https://shs.cairn.info/la-nouvelle-revue-francaise?lang=fr
LP,La Pensée,,Fondation Gabriel Péri,Intérêt général; Philosophie,https://shs.cairn.info/revue-la-pensee?lang=fr
LPM,La pensée de midi,Revue littéraire et de débat d'idées,Actes Sud,Littérature,https://shs.cairn.info/revue-la-pensee-de-midi?lang=fr
LPE,La Pensée écologique,,Presses Universitaires de France,Géographie; Science politique,https://shs.cairn.info/revue-la-pensee-ecologique?lang=fr
PSYE,La psychiatrie de l'enfant,,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-la-psychiatrie-de-l-enfant?lang=fr
RDLI,La Revue de l'Ires,,I.R.E.S.,Économie; Science politique; Sociologie,https://shs.cairn.info/revue-de-l-ires?lang=fr
ENER,La Revue de l'Énergie,,Conseil Français de l'Énergie,Économie,https://stm.cairn.info/revue-revue-de-l-energie?lang=fr
RDR,La Revue des revues,Histoire et actualité des revues,Ent'revues,Littérature,https://shs.cairn.info/revue-la-revue-des-revues?lang=fr
RSG,La Revue des Sciences de Gestion,Direction et gestion des entreprises,Direction et Gestion,Gestion,https://shs.cairn.info/revue-des-sciences-de-gestion?lang=fr
DOCU,La Revue Documentaires,,Association Revue Documentaires,"Arts; Info, Communication",https://shs.cairn.info/revue-documentaires?lang=fr
LRL,La revue lacanienne,,érès,Psychologie,https://shs.cairn.info/revue-la-revue-lacanienne?lang=fr
RN,La Revue Nouvelle,,Association la Revue nouvelle,Intérêt général; Science politique,https://shs.cairn.info/revue-nouvelle?lang=fr
TRIFO,La Tribune Fonda,,La Fonda,Science politique; Sociologie; Travail social,https://shs.cairn.info/la-tribune-fonda?lang=fr
LAE,Laennec,Santé Médecine Éthique,Centre Laennec,Philosophie; Religions et spiritualité; Santé publique,https://stm.cairn.info/revue-laennec?lang=fr
LS,Langage et société,,Éditions de la Maison des sciences de l'homme,Linguistique; Sociologie,https://shs.cairn.info/revue-langage-et-societe?lang=fr
LANG,Langages,,Armand Colin,Linguistique; Littérature,https://shs.cairn.info/revue-langages?lang=fr
LF,Langue française,,Armand Colin,Linguistique; Littérature,https://shs.cairn.info/revue-langue-francaise?lang=fr
LAPS,Lapsus,,érès,Psychologie,https://shs.cairn.info/revue-lapsus?lang=fr
LCP,Le Carnet Psy,,Le Carnet Psy,Psychologie,https://shs.cairn.info/revue-le-carnet-psy?lang=fr
COHE,Le Coq-héron,,érès,Psychologie,https://shs.cairn.info/revue-le-coq-heron?lang=fr
CPE,Le Courrier des pays de l'Est,,La Documentation française,Géographie; Science politique,https://shs.cairn.info/revue-le-courrier-des-pays-de-l-est?lang=fr
DIFA,Le Divan familial,Revue de psychanalyse familiale,In Press,Psychologie,https://shs.cairn.info/revue-le-divan-familial?lang=fr
DDV,Le Droit de Vivre,,Le Droit de Vivre,Intérêt général; Science politique,https://droit.cairn.info/le-droit-de-vivre?lang=fr
DEBA,Le Débat,histoire politique société,Gallimard,Intérêt général; Science politique,https://shs.cairn.info/revue-le-debat?lang=fr
LFA,Le français aujourd'hui,,Armand Colin,Linguistique; Littérature,https://shs.cairn.info/revue-le-francais-aujourd-hui?lang=fr
LGH,Le Genre humain,,Le Seuil,Histoire; Intérêt général,https://shs.cairn.info/revue-le-genre-humain?lang=fr
JEPAM,Le Journal de l'École de Paris du management,,École de Paris du management,Gestion,https://shs.cairn.info/revue-le-journal-de-l-ecole-de-paris-du-management?lang=fr
JDP,Le Journal des psychologues,,Martin Média,Psychologie,https://shs.cairn.info/revue-le-journal-des-psychologues?lang=fr
LMS1,Le Mouvement Social,,Presses de Sciences Po,Histoire; Science politique; Sociologie,https://shs.cairn.info/revue-le-mouvement-social?lang=fr
RMA,Le Moyen Âge,Revue d'histoire et de philologie,De Boeck Supérieur,Histoire,https://shs.cairn.info/revue-le-moyen-age?lang=fr
PHOIR,Le Philosophoire,Laboratoire de philosophie,Association Le Lisible et l'illisible,Philosophie,https://shs.cairn.info/revue-le-philosophoire?lang=fr
LPP,Le présent de la psychanalyse,,Presses Universitaires de France,Psychologie,https://shs.cairn.info/revue-le-present-de-la-psychanalyse?lang=fr
LSDLC,Le sujet dans la cité,,L'Harmattan,Anthropologie; Sociologie,https://shs.cairn.info/revue-le-sujet-dans-la-cite?lang=fr
TDM,Le Temps des médias,,Nouveau Monde éditions,"Histoire; Info, Communication",https://shs.cairn.info/revue-le-temps-des-medias?lang=fr
TH,Le travail humain,,Presses Universitaires de France,Anthropologie; Gestion; Sociologie,https://shs.cairn.info/revue-le-travail-humain?lang=fr
TELE,Le Télémaque,"Philosophie, Education, Société",Presses universitaires de Caen,Philosophie; Sciences de l'éducation,https://shs.cairn.info/revue-le-telemaque?lang=fr
VISIT,Le Visiteur,Revue critique d'architecture,Société française des architectes,Arts; Géographie,https://shs.cairn.info/revue-le-visiteur?lang=fr
LAP,Les Analyses de Population & Avenir,,Association Population & Avenir,Géographie; Science politique; Sociologie,https://shs.cairn.info/revue-analyses-de-population-et-avenir?lang=fr
CAAC,Les Cahiers de l'Actif,,Éditions Actif,Travail social,https://shs.cairn.info/revue-cahiers-de-l-actif?lang=fr
LCDLO,Les Cahiers de l'Orient,Revue d'études et de réflexion sur le monde arabe et musulman,Karthala,Géographie; Science politique,https://shs.cairn.info/revue-les-cahiers-de-l-orient?lang=fr
CDLJ,Les Cahiers de la Justice,,Dalloz,Science politique,https://droit.cairn.info/revue-les-cahiers-de-la-justice?lang=fr
LCS,Les Cahiers de la Shoah,,Les Belles lettres,Histoire,https://shs.cairn.info/revue-les-cahiers-de-la-shoah?lang=fr
CDRU,Les Cahiers de République universelle,Une Loge d'Études et de Recherche du Grand Orient de France,,Science politique,https://shs.cairn.info/revue-les-cahiers-de-la-republique-universelle?lang=fr
CCGC,Les Cahiers du Centre Georges Canguilhem,,Presses Universitaires de France,Philosophie,https://shs.cairn.info/revue-les-cahiers-du-centre-georges-canguilhem?lang=fr
CACR,Les Cahiers du Crash,,CRASH – La Fondation MSF,Santé publique; Travail social,https://shs.cairn.info/revue-les-cahiers-du-crash?lang=fr
CDSU,Les Cahiers du Développement Social Urbain,,Labo Cités,Géographie; Science politique; Sociologie; Travail social,https://shs.cairn.info/revue-cahiers-du-developpement-social-urbain?lang=fr
MNAM,Les Cahiers du Musée national d'art moderne,,Éditions du Centre Pompidou,Arts,https://shs.cairn.info/revue-les-cahiers-du-musee-national-d-art-moderne?lang=fr
LCN,Les Cahiers du numérique,,JLE,"Info, Communication",https://shs.cairn.info/revue-les-cahiers-du-numerique?lang=fr
LCD,Les Cahiers Dynamiques,,érès,Psychologie; Sciences de l'éducation,https://shs.cairn.info/revue-les-cahiers-dynamiques?lang=fr
